pose,punto,ang optimo,ang medido medio
tree_inv,"(11, 23, 25)",174,173
tree_inv,"(12, 24, 26)",120,121
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,58
tree_inv,"(11, 23, 25)",174,174
tree_inv,"(12, 24, 26)",120,125
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,59
tree_inv,"(11, 23, 25)",174,174
tree_inv,"(12, 24, 26)",120,127
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,57
tree_inv,"(11, 23, 25)",174,174
tree_inv,"(12, 24, 26)",120,128
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,56
tree_inv,"(11, 23, 25)",174,174
tree_inv,"(12, 24, 26)",120,128
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,57
tree_inv,"(11, 23, 25)",174,174
tree_inv,"(12, 24, 26)",120,128
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,55
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,129
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,54
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,128
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,54
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,128
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,54
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,128
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,52
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,127
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,50
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,126
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,49
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,126
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,48
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,125
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,47
tree_inv,"(11, 23, 25)",174,175
tree_inv,"(12, 24, 26)",120,126
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,47
tree_inv,"(11, 23, 25)",174,176
tree_inv,"(12, 24, 26)",120,126
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,48
tree_inv,"(11, 23, 25)",174,176
tree_inv,"(12, 24, 26)",120,125
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,48
tree_inv,"(11, 23, 25)",174,176
tree_inv,"(12, 24, 26)",120,125
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,48
tree_inv,"(11, 23, 25)",174,176
tree_inv,"(12, 24, 26)",120,125
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,48
tree_inv,"(11, 23, 25)",174,176
tree_inv,"(12, 24, 26)",120,125
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,48
tree_inv,"(11, 23, 25)",174,176
tree_inv,"(12, 24, 26)",120,125
tree_inv,"(23, 25, 27)",176,179
tree_inv,"(24, 26, 28)",56,48
